trial,pr_auc,roc_auc,precision_at_0_5,recall_at_0_5,f1_at_0_5,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree
4,0.7503768659686193,0.9666296978440239,0.3333333333333333,0.8691275167785235,0.48186046511627906,0.8,5.0,0.1,15,300,100,12,0.08,0.8
20,0.7444932311773792,0.9660498622935115,0.397708674304419,0.8154362416107382,0.5346534653465347,0.8,1.0,1.0,15,500,10,12,0.08,0.8
31,0.7444684154439449,0.9647198399981752,0.4311594202898551,0.7986577181208053,0.56,1.0,5.0,0.1,31,800,50,8,0.03,1.0
34,0.7442360169612499,0.9646371590837814,0.6179104477611941,0.6946308724832215,0.6540284360189573,1.0,1.0,0.0,63,1000,100,12,0.03,1.0
36,0.7441320200733487,0.9669450970217764,0.33422818791946307,0.8355704697986577,0.47746883988494726,1.0,0.0,1.0,15,500,10,-1,0.05,0.8
11,0.7437903894516186,0.9663175061155366,0.31662591687041564,0.8691275167785235,0.46415770609318996,1.0,0.0,0.1,31,300,100,12,0.03,0.8
17,0.743731970808047,0.9644874781180683,0.2826552462526767,0.8859060402684564,0.42857142857142855,1.0,0.1,0.1,15,500,50,5,0.03,1.0
2,0.743317942501839,0.9651375211691652,0.42245989304812837,0.7953020134228188,0.5518044237485448,1.0,1.0,1.0,63,1000,20,-1,0.01,0.7
33,0.7432389854881888,0.9660370324964505,0.3770739064856712,0.8389261744966443,0.5202913631633714,0.7,1.0,0.1,31,500,50,8,0.03,0.7
38,0.7429890869606295,0.9643367280026002,0.44652908067542213,0.7986577181208053,0.5728038507821901,0.8,1.0,0.0,31,800,10,8,0.03,0.7
14,0.7427598108452529,0.9656877769097867,0.2626362735381566,0.889261744966443,0.4055087987758225,0.8,0.0,0.1,15,1000,20,-1,0.01,0.7
28,0.7424918052453839,0.9660031760875392,0.36191860465116277,0.8355704697986577,0.5050709939148073,0.8,0.0,1.0,15,1000,50,-1,0.03,0.8
16,0.7420593806970118,0.9620412634784146,0.5971428571428572,0.7013422818791947,0.6450617283950617,0.7,0.1,1.0,63,800,20,-1,0.03,1.0
24,0.741953808150213,0.9656061651451477,0.4827586206896552,0.7516778523489933,0.5879265091863517,1.0,5.0,1.0,31,800,50,8,0.05,0.7
8,0.7403779022098316,0.9645441430550883,0.3237139272271016,0.8657718120805369,0.4712328767123288,0.8,1.0,1.0,31,300,50,5,0.05,0.8
5,0.7400057996706354,0.9649646752920917,0.24649859943977592,0.8859060402684564,0.38568298027757486,0.8,0.0,0.0,15,800,50,12,0.01,0.7
37,0.7399295345973206,0.9634479081728657,0.39384116693679094,0.8154362416107382,0.5311475409836065,0.8,5.0,0.0,15,500,20,8,0.08,1.0
13,0.7387119276414165,0.9639008712857736,0.2526416906820365,0.8825503355704698,0.3928304705003734,1.0,1.0,0.1,15,300,50,5,0.03,1.0
29,0.737783808031637,0.9653410160058845,0.3184634448574969,0.8624161073825504,0.465158371040724,0.8,1.0,0.0,31,300,10,12,0.03,1.0
