hour,fraud_rate,count
0,0.09182776801405976,2276
1,0.034107402031930335,2756
2,0.03497566909975669,3288
3,0.031781226903178125,2706
4,0.0302923564635435,2839
5,0.029553010712966385,2707
6,0.0340780007572889,2641
7,0.027669524551831644,2566
8,0.030528375733855185,2555
9,0.03424657534246575,2482
10,0.03136762860727729,2391
11,0.02802491103202847,2248
12,0.026623073330219522,2141
13,0.024738344433872503,2102
14,0.02221074380165289,1936
15,0.03009503695881732,1894
16,0.032805429864253395,1768
17,0.025246305418719212,1624
18,0.027725267800882167,1587
19,0.02244039270687237,1426
20,0.026392961876832845,1364
21,0.02564102564102564,1287
22,0.017929910350448247,1227
23,0.03067484662576687,1141
