mcc_label,fraud_rate,total,fraud_count,legit_count
Department Stores,0.005409392672731743,4067,22,4045
Restaurants,0.008215085884988798,4017,33,3984
Service Stations,0.00880917002759499,9422,83,9339
Grocery,0.011131167268351384,3324,37,3287
Fast Food,0.016358157554885924,2323,38,2285
Misc Retail,0.02122704881325571,11165,237,10928
Electronics,0.029340836012861738,2488,73,2415
Fuel / Unmanned POS,0.03549134111961337,19864,705,19159
Clothing / Apparel,0.03667420246169304,3981,146,3835
Pawn / Secondhand,0.04265402843601896,2110,90,2020
Gambling / Crypto,0.04809987148889297,5447,262,5185
Financial Institution,0.04831404126824358,1987,96,1891
Money Transfer / Wire,0.07306869945151995,10757,786,9971
